user_id,followers,following,tweet_count,listed_count,verified
14096763,295747,6225,386501,8137,False
1431636953263398914,33,492,8651,0,False
19070844,1188,4474,168263,32,False
1212395634449248257,52,299,16642,0,False
1724098321,3104,3102,198348,1,False
26054138,8801,8716,419740,4,False
122470737,237,1172,4649,4,False
704798725747531776,5392,5336,624409,520,False
15963614,790,1194,44849,36,False
13568912,6832,5501,77598,496,False
411494902,651,1190,48728,46,False
1202239313993510912,45,563,188,0,False
772236088194719745,292,1039,22204,1,False
1324548044910710784,45,365,4659,0,False
2356429116,53,455,31567,1,False
805529227147628544,4896,4916,97196,21,False
393525670,6945,855,2206,98,False
4819089688,353,247,107880,1,False
1400956237995462657,46,100,2895,0,False
812149066951958529,48,329,5480,0,False
849027998410047489,754,1786,14982,2,False
807082342846054401,1007,431,171614,0,False
267214393,350,588,106315,5,False
2769607103,240,1027,14331,1,False
733416790324215814,87,217,42662,0,False
16788737,250,1473,97540,9,False
251392375,1110,667,3633,9,True
347652908,3382,756,11092,19,True
140865416,1304,4407,132398,76,False
137718722,2895,1320,734460,253,False
2373235842,367,1049,33689,1,False
1705594932,401,1508,13826,9,False
460338364,292,1251,98542,21,False
1182581022,2129,1209,407684,76,False
1141400736858853378,425,4377,16422,2,False
52615210,20641,3376,190673,863,False
2937362579,2899,3437,74267,41,False
43955999,501,666,41400,25,False
546894374,1034,2396,12848,14,False
1467616072916508672,6,320,30,0,False
850098074,513,457,16479,3,False
158299290,224,113,2635,16,False
761425178,100,672,69306,1,False
859148671,682,2436,55501,9,False
940213619978936320,1026,79,428786,4,False
34713362,7757926,1368,745571,64075,True
1360195634,490,335,48596,39,False
1881970458,1605,1808,290530,103,False
1456291639996076035,365,1183,1325,1,False
18530932,7028,7091,181272,214,False
377126859,112,189,3099,0,False
1120009080,458,206,4065,4,False
610371129,509,621,8590,17,False
1284928425405419525,37,197,5330,0,False
130618124,405,710,5169,8,False
1340310878,3625,3568,13524,9,False
1176524014514298882,4363,4963,75672,3,False
2747989952,1879,4853,85505,1,False
1100941647108550656,254,746,5557,8,False
112791659,61,284,10303,0,False
2238402254,759,1402,272953,161,False
1430546765581750272,52,216,880,0,False
846883279378763776,179,417,9615,0,False
357114834,2399,4885,15308,249,False
33671295,120,817,9556,2,False
579177810,400,1080,28928,0,False
1912782222,784,1231,110047,1,False
264954642,1394,1410,63395,4,False
71977357,1244,4998,555325,10,False
796943042943086592,82,474,71860,0,False
16169151,2750,5000,63125,44,False
1152385955187298304,189448,1030,22380,496,True
15220583,371,209,9314,19,False
1432446167934279686,856,3435,16227,0,False
2288472949,1657,2845,13821,1,False
3192543284,51,293,17244,2,False
82796858,524,1719,18628,2,False
2499109494,498,441,8341,38,False
190276324,1249,4092,82665,6,False
1289271207624417280,583,1139,16836,2,False
43734850,287,777,34749,12,False
60075098,153,257,10739,25,False
4079548095,9,93,1357,0,False
24115621,84,1480,3896,1,False
3306652072,363,534,4335,1,False
2562251658,372,766,40287,0,False
1253747384774991874,18,382,3845,0,False
542152108,40,370,6176,0,False
1599861031,210,1745,8191,0,False
15042009,572,1061,71341,25,False
248326821,5645,6083,140695,16,False
37066193,87,84,801,0,False
